"","motion_no","title","proposed_by","tabled_dt","debate_dt","motion_text"
"1733","NDM6554","NDM6554 - Government Debate","Jane Hutt",2017-10-31,2017-11-14,"To propose that the National Assembly for Wales, in accordance with Standing Order 27.5:"
"1734","NDM6555","NDM6555 - Government Debate","Jane Hutt",2017-10-31,2017-11-14,"To propose that the National Assembly for Wales, in accordance with Standing Order 27.5:"
"1735","NDM6556","NDM6556 - Short Debate","David J. Rowlands",2017-11-01,2017-11-15,"The exploitation of immigrants to the UK by immigrant criminal gangs."
"1736","NDM6557","NNDM6557 - Assembly Debate","Mike Hedges",2017-11-01,2017-11-08,"To propose that the National Assembly for Wales:"
"1737","NDM6558","NDM6558 - Assembly Debate","Russell George",2017-11-08,2017-11-22,"To propose that the National Assembly for Wales:"
"1738","NDM6559","NDM6559 - Government Debate","Julie James",2017-11-07,2017-11-21,"To propose that the National Assembly for Wales:"
"1739","NDM6560","NDM6560 - Government Debate","Julie James",2017-11-07,2017-11-14,"To propose that the National Assembly for Wales:"
"1740","NDM6561","NDM6561 - Government Debate","Carwyn Jones",2017-11-07,2017-11-14,"To propose that the National Assembly for Wales, in accordance with Standing Order 9.1, agrees to the First Minister's recommendation to Her Majesty to appoint Jeremy Miles AM as Counsel General."
"1741","NDM6562","NDM6562 - Government Debate","Julie James",2017-11-07,2017-11-14,"To propose that the National Assembly for Wales in accordance with Standing Order 26.36:"
"1742","NDM6563","NNDM6563 - Member Debates","Simon Thomas",2017-11-07,2017-11-07,"To propose that the National Assembly for Wales:"
"1743","NDM6564","NDM6564 - Assembly Debate","Suzy Davies",2017-11-08,2017-11-15,"To propose that the National Assembly for Wales, in accordance with Standing Order 20.16:"
"1744","NDM6565","NDM6565 - Member Debates","Mark Isherwood",2017-11-14,2018-01-17,"To propose that the National Assembly for Wales:"
"1745","NDM6566","NDM6566 - Assembly Debate","Neil Hamilton",2017-11-08,2017-11-22,"To propose that the National Assembly for Wales:"
"1746","NDM6567","NDM6567 - Short Debate","Llyr Gruffydd",2017-11-15,2017-11-22,"A call for help: Safeguarding missing children in Wales."
"1747","NDM6568","NDM6568 - Government Debate","Julie James",2017-11-14,2017-11-21,"To propose that the National Assembly for Wales; in accordance with Standing Order 27.5:"
"1748","NDM6569","NDM6569 - Assembly Debate","Elin Jones",2017-11-14,2017-11-15,"To propose that the National Assembly for Wales, in accordance with Standing Order 17.3, elects Julie James (Labour) as a Member of the Business Committee in place of Jane Hutt (Labour)."
"1749","NDM6570","NDM6570 - Short Debate","Neil Hamilton",2017-11-15,2017-11-22,"Business post-Brexit and the opportunities for Wales."
"1750","NDM6571","NDM6571 - Assembly Debate","Paul Davies",2017-11-15,2017-11-22,"To propose that the National Assembly for Wales:"
"1751","NDM6572","NDM6572 - Member Debates","Lee Waters",2017-11-16,2017-12-13,"To propose that the National Assembly for Wales:"
"1752","NDM6573","NDM6573 - Assembly Debate","Paul Davies",2017-11-16,2017-11-29,"To propose that the National Assembly for Wales, in accordance with Standing Order 17.2, instructs the Committee for the Scrutiny of the First Minister in these terms:"
"1754","NDM6575","NDM6575 - Assembly Debate","Elin Jones",2017-11-16,2017-11-22,"To propose that the National Assembly for Wales, in accordance with Standing Order 17.3, elects Mick Antoniw (Labour) as a Member of the Scrutiny of the First Minister Committee in place of Huw Irranca-Davies (Labour)."
"1755","NDM6576","NDM6576 - Debate on Members’ Legislative Proposal","Steffan Lewis",2017-11-17,2018-01-17,"To propose that the National Assembly for Wales:"
"1756","NDM6577","NDM6577 - Government Debate","Julie James",2017-11-21,2017-11-28,"To propose that the National Assembly for Wales in accordance with Standing Order 27.5:"
"1757","NDM6578","NDM6578 - Government Debate","Julie James",2017-11-21,2017-11-28,"To propose that the National Assembly for Wales:"
"1761","NDM6582","NDM6582 - Assembly Debate","Elin Jones",2017-11-22,2017-11-22,"To propose that the National Assembly for Wales, in accordance with Standing Order 17.14, elects Jane Hutt (Labour) as a Member of the External Affairs and Additional Legislation Committee in place of Eluned Morgan (Labour)."
"1762","NDM6583","NDM6583 - Assembly Debate","Elin Jones",2017-11-22,2017-11-22,"To propose that the National Assembly for Wales, in accordance with Standing Order 17.14, elects Jenny Rathbone (Labour) as a Member of the External Affairs and Additional Legislation Committee in place of Jeremy Miles (Labour)."
"1763","NDM6584","NDM6584 - Assembly Debate","Elin Jones",2017-11-22,2017-11-22,"To propose that the National Assembly for Wales, in accordance with Standing Order 17.14, elects Jane Hutt (Labour) as a Member of the Finance Committee in place of Eluned Morgan (Labour)."
"1764","NDM6585","NDM6585 - Assembly Debate","Elin Jones",2017-11-22,2017-11-22,"To propose that the National Assembly for Wales, in accordance with Standing Order 17.14, elects Dawn Bowden (Labour) as a Member of the Climate Change, Environment and Rural Affairs Committee in place of Jenny Rathbone (Labour)."
"1765","NDM6586","NDM6586 - Assembly Debate","Elin Jones",2017-11-22,2017-11-22,"To propose that the National Assembly for Wales, in accordance with Standing Order 17.14, elects Mick Antoniw (Labour) as a Member of the  Equality, Local Government and Communities Committee in place of Joyce Watson (Labour)."
"1766","NDM6587","NDM6587 - Assembly Debate","Elin Jones",2017-11-22,2017-11-22,"To propose that the National Assembly for Wales, in accordance with Standing Order 17.14, elects Joyce Watson (Labour) as a Member of the Climate Change, Environment and Rural Affairs Committee in place of Huw Irranca-Davies (Labour)."
"1767","NDM6588","NDM6588 - Assembly Debate","Elin Jones",2017-11-22,2017-11-22,"To propose that the National Assembly for Wales, in accordance with Standing Order 17.14, elects Mick Antoniw (Labour) as a Member of the  Culture, Welsh Language and Communications Committee in place of Hannah Blythyn (Labour)."
"1768","NDM6589","NDM6589 - Assembly Debate","Elin Jones",2017-11-22,2017-11-22,"To propose that the National Assembly for Wales, in accordance with Standing Order 17.14, elects Joyce Watson (Labour) as a Member of the  Economy, Infrastructure and Skills Committee in place of Jeremy Miles (Labour)."
"1769","NDM6590","NDM6590 - Assembly Debate","Elin Jones",2017-11-22,2017-11-22,"To propose that the National Assembly for Wales, in accordance with Standing Order 17.14, elects Lee Waters (Labour) as a Member of the  Economy, Infrastructure and Skills Committee in place of Hannah Blythyn (Labour)."
"1770","NDM6591","NDM6591 - Assembly Debate","Elin Jones",2017-11-22,2017-11-22,"To propose that the National Assembly for Wales, in accordance with Standing Order 17.14, elects Jenny Rathbone (Labour) as a Member of the  Culture, Welsh Language and Communications Committee in place of Dawn Bowden (Labour)."
"1771","NDM6592","NDM6592 - Assembly Debate","Elin Jones",2017-11-22,2017-11-22,"To propose that the National Assembly for Wales, in accordance with Standing Order 17.14, elects Rhianon Passmore (Labour) as a Member of the  Culture, Welsh Language and Communications Committee in place of Jeremy Miles (Labour)."
"1772","NDM6593","NDM6593 - Short Debate","Jayne Bryant",2017-11-22,2017-11-29,"Wales’s invisible problem - the social impact of gambling"
"1773","NDM6594","NDM6594 - Assembly Debate","Paul Davies",2017-11-22,2017-11-29,"To propose that the National Assembly for Wales:"
"1774","NDM6595","NDM6595 - Assembly Debate","Rhun ap Iorwerth",2017-11-22,2017-11-29,"To propose that the National Assembly for Wales:"
"1775","NDM6596","NDM6596 - Debate on Members’ Legislative Proposal","David Melding",2017-11-23,2017-12-06,"To propose that the National Assembly for Wales:"
"1777","NDM6598","NNDM6598 - Debate on Members’ Legislative Proposal","Mick Antoniw",2017-11-23,2017-11-23,"To propose the National Assembly for Wales:"
"1780","NDM6601","NDM6601 - Short Debate","Janet Finch-Saunders",2017-11-28,2017-12-06,"A call for GPs to undertake routine screening for type-1 diabetes in children and young people."
"1781","NDM6602","NDM6602 - Government Debate","Julie James",2017-11-28,2017-12-05,"To propose that the National Assembly for Wales:"
"1782","NDM6603","NDM6603 - Government Debate","Julie James",2017-11-28,2017-12-05,"To propose that the National Assembly for Wales, in accordance with Standing Order 20.12:"
"1783","NDM6604","NDM6604 - Assembly Debate","David J. Rowlands",2017-11-29,2017-12-06,"To propose that the National Assembly for Wales:"
"1784","NDM6605","NDM6605 - Assembly Debate","Rhun ap Iorwerth",2017-11-29,2017-12-06,"To propose that the National Assembly for Wales:"
"1785","NDM6606","NDM6606 - Assembly Debate","Rhun ap Iorwerth",2017-11-29,2017-12-06,"To propose that the National Assembly for Wales:"
"1786","NDM6607","NDM6607 - Government Debate","Rebecca Evans",2017-12-04,2017-12-05,"To propose that the National Assembly for Wales in accordance with Standing Order 26.47:"
"1787","NDM6608","NDM6608 - Government Debate","Julie James",2017-12-05,2017-12-12,"To propose the National Assembly of Wales:"
"1788","NDM6609","NDM6609 - Government Debate","Julie James",2017-12-05,2017-12-12,"To propose that the National Assembly for Wales; in accordance with Standing Order 27.5:"
"1789","NDM6610","NDM6610 - Short Debate","Mike Hedges",2017-12-06,2017-12-13,"The construction industry in Wales."
"1790","NDM6611","NDM6611 - Assembly Debate","Mike Hedges",2017-12-06,2017-12-13,"To propose that the National Assembly for Wales:"
"1791","NDM6612","NDM6612 - Assembly Debate","Gareth Bennett",2017-12-06,2017-12-13,"To propose that the National Assembly for Wales:"
"1792","NDM6613","NDM6613 - Government Debate","Kirsty Williams",2017-12-11,2017-12-12,"To propose that the National Assembly for Wales in accordance with Standing Order 26.47:"
"1793","NDM6614","NDM6614 - Government Debate","Julie James",2017-12-19,2018-01-16,"To propose that the National Assembly for Wales, in accordance with Standing Order 20.25, approves the Annual Budget for the financial year 2018-19 laid in the Table Office by the Cabinet Secretary for Finance on 19 December 2017."
"1794","NDM6615","NDM6615 - Short Debate","Janet Finch-Saunders",2017-12-19,2018-01-10,"Calling for a charter for ‘Dignity in Retirement and the Security of Older People’"
"1795","NDM6616","NDM6616 - Government Debate","Julie James",2018-01-02,2018-01-09,"To propose that the National Assembly for Wales:"
"1796","NDM6617","NDM6617 - Government Debate","Julie James",2018-01-02,2018-01-09,"To propose that the National Assembly for Wales:"
"1797","NDM6618","NDM6618 - Government Debate","Julie James",2018-01-02,2018-01-09,"To propose that the National Assembly for Wales; in accordance with Standing Order 27.5:"
"1798","NDM6619","NDM6619 - Assembly Debate","Paul Davies",2018-01-02,2018-01-10,"To propose that the National Assembly for Wales:"
"1799","NDM6620","NDM6620 - Assembly Debate","Mike Hedges",2018-01-03,2018-01-10,"To propose that the National Assembly for Wales:"
"1800","NDM6621","NDM6621 - Assembly Debate","Rhun ap Iorwerth",2018-01-03,2018-01-10,"To propose that the National Assembly for Wales:"
"1801","NDM6622","NDM6622 - Government Debate","Julie James",2018-01-09,2018-01-16,"To propose that the National Assembly for Wales, in accordance with Standing Order 27.5:"
"1802","NDM6623","NDM6623 - Government Debate","Julie James",2018-01-09,2018-01-16,"To propose that the National Assembly for Wales, in accordance with Section 84H of the Local Government Finance Act 1988, approves the Local Government Finance Report (No. 1) 2018-2019 (Final Settlement - Councils), which was laid in the Table Office on 20 December 2017."
"1803","NDM6624","NDM6624 - Assembly Debate","Dai Lloyd",2018-01-10,2018-01-17,"To propose that the National Assembly for Wales:"
"1804","NDM6625","NDM6625 - Short Debate","Lee Waters",2018-01-10,2018-01-17,"The robots are coming - Wales needs a plan for automation."
"1805","NDM6626","NDM6626 - Member Debates","Mick Antoniw",2018-01-17,2018-01-31,"To propose that the National Assembly for Wales:"
"1806","NDM6627","NDM6627 - Government Debate","Julie James",2018-01-16,2018-01-23,"To propose that the National Assembly for Wales:"
"1807","NDM6628","NDM6628 - Government Debate","Julie James",2018-01-16,2018-01-23,"To propose that the National Assembly for Wales, in accordance with Standing Order 27.5"
"1808","NDM6629","NDM6629 - Government Debate","Julie James",2018-01-16,2018-01-23,"To propose that the National Assembly for Wales, in accordance with Standing Order 27.5"
"1809","NDM6630","NDM6630 - Assembly Debate","Elin Jones",2018-01-16,2018-01-17,"To propose that the National Assembly for Wales, in accordance with Standing Order 17.3, elects Mandy Jones (Independent) as a Member of the Constitutional and Legislative Affairs Committee."
"1810","NDM6631","NDM6631 - Assembly Debate","Paul Davies",2018-01-17,2018-01-24,"To propose that the National Assembly for Wales:"
"1811","NDM6632","NDM6632 - Assembly Debate","Simon Thomas",2018-01-17,2018-01-24,"To propose that the National Assembly for Wales:"
"1812","NDM6633","NDM6633 - Short Debate","Sian Gwenllian",2018-01-17,2018-01-24,"A century since women gained the right to vote, but does Wales have equality today?"
"1813","NDM6634","NDM6634 - Assembly Debate","Russell George",2018-01-17,2018-01-24,"To propose that the National Assembly for Wales:"
"1814","NDM6635","NDM6635 - Member Debates","Dai Lloyd",2018-01-18,2018-02-14,"To propose that the National Assembly for Wales:"
"1816","NDM6637","NDM6637 - Government Debate","Julie James",2018-01-23,2018-01-30,"To propose that the National Assembly for Wales, in accordance with Standing Order 27.5:"
"1817","NDM6638","NDM6638 - Government Debate","Julie James",2018-01-23,2018-01-30,"To propose that the National Assembly for Wales, in accordance with Standing Order 27.5:"
"1818","NDM6639","NDM6639 - Government Debate","Julie James",2018-01-23,2018-01-30,"To propose that the National Assembly for Wales, in accordance with Standing Order 27.5:"
"1819","NDM6640","NDM6640 - Government Debate","Julie James",2018-01-23,2018-01-30,"To propose that the National Assembly for Wales, in accordance with Standing Order 27.5"
"1820","NDM6641","NDM6641 - Government Debate","Julie James",2018-01-23,2018-01-30,"To propose that the National Assembly for Wales, in accordance with Standing Order 27.5:"
"1821","NDM6642","NDM6642 - Assembly Debate","Lynne Neagle",2018-01-24,2018-01-31,"To propose that the National Assembly for Wales:"
"1822","NDM6643","NDM6643 - Assembly Debate","David J. Rowlands",2018-01-24,2018-01-31,"To propose that the National Assembly for Wales:"
"1823","NDM6644","NDM6644 - Short Debate","Suzy Davies",2018-01-24,2018-01-31,"Getting in there: Scores on the doors for disability access and defibrillators"
"1824","NDM6645","NDM6645 - Assembly Debate","Neil Hamilton",2018-01-31,2018-02-07,"To propose that the National Assembly for Wales:"
"1825","NDM6646","NDM6646 - Assembly Debate","Elin Jones",2018-01-31,2018-02-07,"To propose that the National Assembly for Wales:"
"1826","NDM6647","NDM6647 - Assembly Debate","Rhun ap Iorwerth",2018-01-31,2018-02-07,"To propose that the National Assembly for Wales:"
"1827","NDM6648","NDM6648 - Short Debate","Caroline Jones",2018-01-31,2018-02-07,"The role of community hospitals in 21st century healthcare."
"1828","NDM6649","NDM6649 - Government Debate","Julie James",2018-02-06,2018-02-13,"To propose that the National Assembly for Wales, under Section 84H of the Local Government Finance Act 1988, approves the Local Government Finance Report (No. 2) 2018-19 (Final Settlement - Police and Crime Commissioners), which was laid in the Table Office on 31 January 2018."
"1829","NDM6650","NDM6650 - Short Debate","Mark Isherwood",2018-02-07,2018-02-14,"Getting smart with fuel poverty."
"1830","NDM6651","NDM6651 - Government Debate","Rebecca Evans",2018-02-06,2018-02-13,"To propose that the National Assembly for Wales, in accordance with Standing Order 29.6, agrees that provisions in the Financial Guidance and Claims Bill relating to the Single Financial Guidance Body in so far as they fall within the legislative competence of the National Assembly for Wales, should be considered by the UK Parliament."
"1831","NDM6652","NDM6652 - Government Debate","Julie James",2018-02-06,2018-02-13,"To propose that the National Assembly for Wales, in accordance with Standing Order 27.5:"
"1832","NDM6653","NDM6653 - Government Debate","Julie James",2018-02-06,2018-02-13,"To propose that the National Assembly for Wales, in accordance with Standing Order 27.5:"
"1833","NDM6654","NDM6654 - Assembly Debate","Dai Lloyd",2018-02-06,2018-02-14,"To propose that the National Assembly for Wales:"
"1834","NDM6655","NDM6655 - Government Debate","Rebecca Evans",2018-02-06,2018-02-13,"To propose that the National Assembly for Wales in accordance with Standing Order 26.11:"
"1835","NDM6656","NDM6656 - Government Debate","Julie James",2018-02-06,2018-02-13,"To propose that the National Assembly for Wales, for the purposes of any provisions resulting from the Regulation of Registered Social Landlords (Wales) Bill, agrees to any increase in expenditure of a kind referred to in Standing Order 26.69, arising in consequence of the Bill."
"1836","NDM6657","NDM6657 - Government Debate","Julie James",2018-02-06,2018-03-06,"To propose that the Assembly, in accordance with Standing Order 20.30, approves the Second Supplementary Budget for the financial year 2017-18 laid in the Table Office and emailed to Assembly Members on Tuesday, 6 February 2018."
"1837","NDM6658","NDM6658 - Assembly Debate","Paul Davies",2018-02-07,2018-02-14,"To propose that the National Assembly for Wales:"
"1838","NDM6659","NDM6659 - Assembly Debate","Elin Jones",2018-02-14,2018-02-14,"To propose that the National Assembly for Wales, in accordance with Standing Order 17.14, elects Jack Sargeant (Labour) as a Member of the External Affairs and Additional Legislation Committee in place of Dawn Bowden (Labour)."
"1839","NDM6660","NDM6660 - Assembly Debate","Elin Jones",2018-02-14,2018-02-14,"To propose that the National Assembly for Wales, in accordance with Standing Order 17.14, elects Jack Sargeant (Labour) as a Member of the Equality, Local Government and Communities Committee in place of Mick Antoniw (Labour)."
"1840","NDM6661","NDM6661 - Assembly Debate","Elin Jones",2018-02-14,2018-02-14,"To propose that the National Assembly for Wales, in accordance with Standing Order 17.14, elects Jack Sargeant (Labour) as a Member of the Culture, Welsh Language and Communications Committee in place of Lee Waters (Labour)."
"1841","NDM6662","NDM6662 - Government Debate","Vaughan Gething",2018-02-20,2018-02-27,"To propose that the National Assembly for Wales, in accordance with Standing Order 29.6, agrees that provisions in the Assaults on Emergency Workers (Offences) Bill, in so far as they fall within the legislative competence of the National Assembly for Wales, should be considered by the UK Parliament."
"1842","NDM6663","NDM6663 - Assembly Debate","Mick Antoniw",2018-02-21,2018-02-28,"To propose that the National Assembly for Wales:"
"1843","NDM6664","NDM6664 - Short Debate","Vikki Howells",2018-02-21,2018-03-14,"Land banking, a vacant land tax and some lessons from the Cynon Valley."
"1844","NDM6665","NDM6665 - Member Debates","Jenny Rathbone",2018-02-21,2018-03-07,"To propose that the National Assembly for Wales:"
"1845","NDM6666","NDM6666 - Member Debates","Mark Isherwood",2018-02-22,2018-03-21,"To propose that the National Assembly for Wales:"
"1847","NDM6668","NDM6668 - Assembly Debate","Paul Davies",2018-02-21,2018-02-28,"To propose that the National Assembly for Wales:"
"1848","NDM6669","NDM6669 - Assembly Debate","Rhun ap Iorwerth",2018-02-21,2018-02-28,"To propose that the National Assembly for Wales:"
"1849","NDM6670","NDM6670 - Assembly Debate","Rhun ap Iorwerth",2018-02-21,2018-02-28,"To propose that the National Assembly for Wales:"
"1850","NDM6671","NDM6671 - Debate on Members’ Legislative Proposal","Mick Antoniw",2018-02-26,2018-06-27,"To propose the National Assembly for Wales:"
"1851","NDM6672","NDM6672 - Government Debate","Julie James",2018-02-27,2018-03-06,"To propose that the National Assembly for Wales, in accordance with Standing Order 26.95:"
"1852","NDM6673","NDM6673 - Government Debate","Julie James",2018-02-27,2018-03-06,"To propose that the National Assembly for Wales, in accordance with Standing Order 26.98(ii):"
"1853","NDM6674","NDM6674 - Government Debate","Julie James",2018-02-27,2018-03-06,"To propose that the National Assembly for Wales, in accordance with Standing Order 27.5:"
"1854","NDM6675","NDM6675 - Government Debate","Julie James",2018-02-27,2018-03-06,"To propose that the National Assembly for Wales:"
"1855","NDM6676","NDM6676 - Government Debate","Julie James",2018-02-27,2018-03-06,"To propose that the National Assembly for Wales, in accordance with Standing Order 27.5:"
"1856","NDM6677","NDM6677 - Assembly Debate","David J. Rowlands",2018-02-27,2018-03-07,"To propose that the National Assembly for Wales:"
"1857","NDM6678","NNDM6678 - Debate on Members’ Legislative Proposal","Simon Thomas",2018-02-28,2018-02-28,"To propose that the National Assembly for Wales:"
"1858","NDM6679","NDM6679 - Short Debate","Julie Morgan",2018-02-28,2018-03-07,"Secure housing – stable families"
"1859","NDM6680","NDM6680 - Assembly Debate","Mick Antoniw",2018-02-28,2018-03-07,"To propose that the National Assembly for Wales:"
"1860","NDM6681","NDM6681 - Debate on Members’ Legislative Proposal","Hefin David",2018-03-01,2018-03-14,"To propose that the National Assembly for Wales:"
"1861","NDM6682","NDM6682 - Member Debates","Hefin David",2018-03-01,2018-05-16,"To propose that the National Assembly for Wales:"
"1862","NDM6683","NDM6683 - Government Debate","Vaughan Gething",2018-03-06,2018-03-13,"To propose that the National Assembly for Wales in accordance with Standing Order 26.11:"
"1863","NDM6684","NDM6684 - Government Debate","Julie James",2018-03-06,2018-03-13,"To propose that the National Assembly for Wales, for the purposes of any provisions resulting from the Public Health (Minimum Price for Alcohol) (Wales) Bill, agrees to any increase in expenditure of a kind referred to in Standing Order 26.69, arising in consequence of the Bill."
"1864","NDM6685","NDM6685 - Short Debate","Llyr Gruffydd",2018-03-07,2018-03-14,"The importance of early language development: current action on this key issue and what more needs to be done to drive forward change in Wales."
"1865","NDM6686","NDM6686 - Government Debate","Mark Drakeford",2018-03-07,2018-03-13,"To propose that the National Assembly for Wales, in accordance with Standing Order 26.102:"
"1866","NDM6687","NDM6687 - Government Debate","Julie James",2018-03-07,2018-03-13,"To propose that the National Assembly for Wales, for the purposes of any provisions resulting from the Law Derived from the European Union (Wales) Bill, agrees to any increase in expenditure of a kind referred to in Standing Order 26.69, arising in consequence of the Bill."
"1867","NDM6688","NDM6688 - Assembly Debate","Lynne Neagle",2018-03-07,2018-03-14,"To propose that the National Assembly for Wales:"
"1868","NDM6689","NDM6689 - Assembly Debate","Elin Jones",2018-03-07,2018-03-14,"To propose that the National Assembly, in accordance with Standing Order 33.2:"
"1869","NDM6690","NDM6690 - Assembly Debate","Elin Jones",2018-03-07,2018-03-14,"To propose that the National Assembly, in accordance with Standing Order 33.2:"
"1870","NDM6691","NDM6691 - Assembly Debate","Simon Thomas",2018-03-07,2018-03-14,"To propose that the National Assembly for Wales, in accordance with Standing Order 10.5:"
"1871","NDM6692","NDM6692 - Assembly Debate","Rhun ap Iorwerth",2018-03-07,2018-03-14,"To propose that the National Assembly for Wales:"
"1872","NDM6693","NDM6693 - Government Debate","Julie James",2018-03-13,2018-03-20,"To propose that the National Assembly for Wales, in accordance with Standing Order 27.5"
"1873","NDM6694","NDM6694 - Government Debate","Julie James",2018-03-13,2018-03-20,"To propose that the National Assembly for Wales; in accordance with Standing Order 27.5"
"1874","NDM6695","NDM6695 - Member Debates","Jane Hutt",2018-03-13,2018-05-02,"To propose that the National Assembly for Wales:"
"1875","NDM6696","NDM6696 - Assembly Debate","Simon Thomas",2018-03-14,2018-03-21,"To propose that the National Assembly for Wales in accordance with Standing Order 26.83:"
"1876","NDM6697","NDM6697 - Opposition Debate","Neil Hamilton",2018-03-14,2018-04-18,"To propose that the National Assembly for Wales:"
"1877","NDM6698","NNDM6698 - No Named Day Motion Debate","Neil McEvoy",2018-03-21,2018-03-21,"To propose that the National Assembly for Wales, acting in accordance with Section 37(1)(b) of the Government of Wales Act 2006, requires the Permanent Secretary of the Welsh Government to produce for the purposes of the Assembly, with appropriate redactions to ensure anonymity of witnesses, the report of the investigation into whether there was any evidence of prior unauthorised sharing of information relating to the November 2017 Ministerial reshuffle."
"1878","NDM6699","NDM6699 - Government Debate","Julie James",2018-04-10,2018-04-17,"To propose that the National Assembly for Wales in accordance with Standing Order 26.36:"
"1879","NDM6700","NDM6700 - Government Debate","Julie James",2018-04-10,2018-04-17,"To propose that the National Assembly for Wales, in accordance with Standing Order 27.5:"
"1880","NDM6701","NDM6701 - Short Debate","Angela Burns",2018-04-11,2018-04-18,"Sepsis – The Chameleon"
"1881","NDM6702","NDM6702 - Opposition Debate","Paul Davies",2018-04-11,2018-04-18,"To propose that the National Assembly for Wales:"
"1882","NDM6703","NDM6703 - Opposition Debate","Paul Davies",2018-04-11,2018-04-18,"To propose that the National Assembly for Wales:"
"1883","NDM6704","NDM6704 - Committee Debate","David Rees",2018-04-11,2018-04-18,"To propose that the National Assembly for Wales:"
"1884","NDM6705","NDM6705 - Government Debate","Julie James",2018-04-17,2018-04-24,"To propose that the National Assembly for Wales, in accordance with Standing Order 27.5:"
"1885","NDM6706","NDM6706 - Opposition Debate","Rhun ap Iorwerth",2018-04-18,2018-04-25,"To propose that the National Assembly for Wales:"
"1886","NDM6707","NDM6707 - Opposition Debate","Paul Davies",2018-04-18,2018-04-25,"To propose that the National Assembly for Wales:"
"1887","NDM6708","NDM6708 - Short Debate","David Rees",2018-04-18,2018-04-25,"The social fabric and future wellbeing of our valleys communities."
"1888","NDM6709","NDM6709 - Opposition Debate","Rhun ap Iorwerth",2018-04-18,2018-04-25,"To propose that the National Assembly for Wales:"
"1889","NDM6710","NDM6710 - Committee Debate","Paul Davies",2018-04-25,2018-05-02,"To propose that the National Assembly for Wales:"
"1890","NDM6711","NDM6711 - Short Debate","Rhianon Passmore",2018-04-25,2018-05-02,"The land of song: developing a music education strategy for Wales"
"1891","NDM6712","NDM6712 - Opposition Debate","Rhun ap Iorwerth",2018-04-25,2018-05-02,"To propose that the National Assembly for Wales:"
"1892","NDM6713","NDM6713 - Short Debate","David Melding",2018-04-26,2018-05-09,"Valleys housing: A heritage worth investing in."
"1893","NDM6714","NNDM6714 - Debate on Members’ Legislative Proposal","Simon Thomas",2018-05-02,2018-05-02,"To propose that the National Assembly for Wales:"
"1894","NDM6715","NDM6715 - Short Debate","Jenny Rathbone",2018-04-30,2018-05-16,"Rent stability - Why we need rent controls to ensure private renters get a fair deal."
"1895","NDM6716","NDM6716 - Committee Debate","Russell George",2018-05-01,2018-05-09,"The National Assembly for Wales:"
"1896","NDM6717","NDM6717 - Government Debate","Rebecca Evans",2018-05-01,2018-05-08,"To propose that the National Assembly for Wales in accordance with Standing Order 26.47:"
"1897","NDM6718","NDM6718 - Opposition Debate","Neil Hamilton",2018-05-01,2018-05-09,"To propose that the National Assembly for Wales:"
"1898","NDM6719","NDM6719 - Opposition Debate","Paul Davies",2018-05-01,2018-05-09,"To propose that the National Assembly for Wales:"
"1899","NDM6720","NDM6720 - Debate on Members’ Legislative Proposal","Rhun ap Iorwerth",2018-05-03,2018-05-16,"To propose that the National Assembly for Wales:"
"1900","NDM6721","NDM6721 - Government Debate","Julie James",2018-05-08,2018-05-15,"To propose that the National Assembly for Wales:"
"1901","NDM6722","NDM6722 - Government Debate","Carwyn Jones",2018-05-08,2018-05-15,"To propose that the National Assembly for Wales, in accordance with Standing Order 29.6, agrees that provisions in the European Union (Withdrawal) Bill in so far as they fall within or modify the legislative competence of the National Assembly for Wales should continue to be considered by the UK Parliament."
"1902","NDM6723","NDM6723 - Opposition Debate","Rhun ap Iorwerth",2018-05-09,2018-05-16,"To propose that the National Assembly for Wales:"
"1903","NDM6724","NDM6724 - Committee Debate","Jayne Bryant",2018-05-09,2018-05-16,"To propose that the National Assembly for Wales:"
"1904","NDM6725","NDM6725 - Government Debate","Julie James",2018-05-15,2018-05-22,"To propose that the National Assembly for Wales:"
"1905","NDM6726","NDM6726 - Short Debate","Nick Ramsay",2018-05-16,2018-05-23,"Dads need your support too: ensuring that dads continue to have a voice and the support to be positive role models in their children’s lives."
"1906","NDM6727","NDM6727 - Committee Debate","David J. Rowlands",2018-05-15,2018-05-23,"To propose that the National Assembly for Wales:"
"1907","NDM6728","NDM6728 - Committee Debate","David Rees",2018-05-16,2018-05-23,"To propose that the National Assembly for Wales:"
"1908","NDM6729","NDM6729 - Committee Debate","Lynne Neagle",2018-05-16,2018-05-23,"To propose that the National Assembly for Wales:"
"1909","NDM6730","NDM6730 - Short Debate","Neil McEvoy",2018-05-30,2018-06-06,"A Sovereign Wales: Building the proud, sovereign and united country that Wales can and should be."
"1910","NDM6731","NDM6731 - Opposition Debate","Caroline Jones",2018-05-30,2018-06-06,"To propose that the National Assembly for Wales:"
"1911","NDM6732","NDM6732 - Government Debate","Julie James",2018-05-25,2018-06-05,"To propose that the National Assembly for Wales in accordance with Standing Order 26.36:"
"1912","NDM6733","NDM6733 - Member Debates","Simon Thomas",2018-05-24,2018-06-20,"To propose that the National Assembly for Wales:"
"1913","NDM6734","NDM6734 - Opposition Debate","Paul Davies",2018-05-30,2018-06-06,"To propose that the National Assembly for Wales:"
"1914","NDM6735","NDM6735 - Opposition Debate","Rhun ap Iorwerth",2018-05-30,2018-06-06,"To propose that the National Assembly for Wales:"
